date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:35:36	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2029%20Aug%202020%2019:35:40%20GMT	http://www.vintagepointsblog.com/robots.txt		(from )
12:35:36	50814/50814	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Aug%202020%2019:35:41%20GMT	http://www.vintagepointsblog.com/	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/www.vintagepointsblog.com/index.html	(from )
12:35:37	53593/53593	---MCZ	200	added ('OK')	text/css	etag:W/%225ea3067e-d159%22	http://www.vintagepointsblog.com/wp-includes/css/dist/block-library/style.min.css?ver=5.4.2	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/www.vintagepointsblog.com/wp-includes/css/dist/block-library/style.min7661.css	(from http://www.vintagepointsblog.com/)
12:35:37	78514/78514	---MCZ	200	added ('OK')	text/css	etag:W/%225923b70e-132b2%22	http://www.vintagepointsblog.com/wp-content/plugins/feed-them-social/feeds/css/styles.css?ver=5.4.2	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/www.vintagepointsblog.com/wp-content/plugins/feed-them-social/feeds/css/styles7661.css	(from http://www.vintagepointsblog.com/)
12:35:37	7962/7962	---MCZ	200	added ('OK')	text/css	etag:W/%225923b70e-1f1a%22	http://www.vintagepointsblog.com/wp-content/plugins/feed-them-social/feeds/css/magnific-popup.css?ver=5.4.2	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/www.vintagepointsblog.com/wp-content/plugins/feed-them-social/feeds/css/magnific-popup7661.css	(from http://www.vintagepointsblog.com/)
12:35:38	47161/47161	---MCZ	200	added ('OK')	text/css	etag:W/%225c4bf76f-b839%22	http://www.vintagepointsblog.com/wp-content/themes/bloggist/style.css?ver=5.4.2	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/www.vintagepointsblog.com/wp-content/themes/bloggist/style7661.css	(from http://www.vintagepointsblog.com/)
12:35:38	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%225c4bf76f-7918%22	http://www.vintagepointsblog.com/wp-content/themes/bloggist/css/font-awesome.min.css?ver=5.4.2	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/www.vintagepointsblog.com/wp-content/themes/bloggist/css/font-awesome.min7661.css	(from http://www.vintagepointsblog.com/)
12:35:39	754/754	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2253d0051f07c4f6ba459bf95f88518f9f-gzip%22	http://www.vintagepointsblog.com/?feed=comments-rss2	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/www.vintagepointsblog.com/indexa6da.html	(from http://www.vintagepointsblog.com/)
12:35:39	47725/47725	---MCZ	200	added ('OK')	text/css	etag:W/%225c4bf76f-ba6d%22	http://www.vintagepointsblog.com/wp-content/themes/clean-bloggist/style.css?ver=5.4.2	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/www.vintagepointsblog.com/wp-content/themes/clean-bloggist/style7661.css	(from http://www.vintagepointsblog.com/)
12:35:39	64993/64993	---MCZ	200	added ('OK')	text/css	etag:W/%2259244f2c-fde1%22	http://www.vintagepointsblog.com/wp-content/plugins/jetpack/css/jetpack.css?ver=4.9	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/www.vintagepointsblog.com/wp-content/plugins/jetpack/css/jetpack33a6.css	(from http://www.vintagepointsblog.com/)
12:35:39	146/146	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Aug%202020%2019:35:44%20GMT	http://www.vintagepointsblog.com/linkid.js	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/www.vintagepointsblog.com/linkid.js	(from http://www.vintagepointsblog.com/)
12:35:41	10056/10056	---MCZ	200	added ('OK')	application/javascript	etag:W/%22573eaa90-2748%22	http://www.vintagepointsblog.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/www.vintagepointsblog.com/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://www.vintagepointsblog.com/)
12:35:41	41566/41566	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22442acd3e22680d3d9b55d17780591359-gzip%22	http://www.vintagepointsblog.com/?feed=rss2	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/www.vintagepointsblog.com/indexd784.html	(from http://www.vintagepointsblog.com/)
12:35:41	749/749	---MCZ	200	added ('OK')	application/javascript	etag:W/%225923b70e-2ed%22	http://www.vintagepointsblog.com/wp-content/plugins/feed-them-social/admin/js/admin.js?ver=5.4.2	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/www.vintagepointsblog.com/wp-content/plugins/feed-them-social/admin/js/admin7661.js	(from http://www.vintagepointsblog.com/)
12:35:41	6997/6997	---MCZ	200	added ('OK')	application/javascript	etag:W/%225929a6c4-1b55%22	http://www.vintagepointsblog.com/wp-content/plugins/google-analytics-for-wordpress/assets/js/frontend.min.js?ver=6.1.10	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/www.vintagepointsblog.com/wp-content/plugins/google-analytics-for-wordpress/assets/js/frontend.min38e0.js	(from http://www.vintagepointsblog.com/)
12:35:42	6766/6766	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c7ff75f-1a6e%22	http://www.vintagepointsblog.com/wp-content/plugins/cleantalk-spam-protect/js/apbct-public.js?ver=5.116.1	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/www.vintagepointsblog.com/wp-content/plugins/cleantalk-spam-protect/js/apbct-publicc32d.js	(from http://www.vintagepointsblog.com/)
12:35:42	5514/5514	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c7ff75f-158a%22	http://www.vintagepointsblog.com/wp-content/plugins/cleantalk-spam-protect/inc/cleantalk_nocache.js?ver=5.116.1	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/www.vintagepointsblog.com/wp-content/plugins/cleantalk-spam-protect/inc/cleantalk_nocachec32d.js	(from http://www.vintagepointsblog.com/)
12:35:42	316/316	---MCZ	200	added ('OK')	application/javascript	etag:W/%225923b70e-13c%22	http://www.vintagepointsblog.com/wp-content/plugins/feed-them-social/feeds/js/powered-by.js?ver=5.4.2	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/www.vintagepointsblog.com/wp-content/plugins/feed-them-social/feeds/js/powered-by7661.js	(from http://www.vintagepointsblog.com/)
12:35:44	34571/34571	---MCZ	200	added ('OK')	application/javascript	etag:W/%225923b70e-870b%22	http://www.vintagepointsblog.com/wp-content/plugins/feed-them-social/feeds/js/magnific-popup.js?ver=5.4.2	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/www.vintagepointsblog.com/wp-content/plugins/feed-them-social/feeds/js/magnific-popup7661.js	(from http://www.vintagepointsblog.com/)
12:35:44	96873/96873	---MCZ	200	added ('OK')	application/javascript	etag:W/%225cde37d2-17a69%22	http://www.vintagepointsblog.com/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/www.vintagepointsblog.com/wp-includes/js/jquery/jquery4a5f.js	(from http://www.vintagepointsblog.com/)
12:35:44	115483/115483	---MCZ	200	added ('OK')	application/json	date:Sat,%2029%20Aug%202020%2019:35:47%20GMT	http://www.vintagepointsblog.com/index.php?rest_route=/	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/www.vintagepointsblog.com/index52f0.json	(from http://www.vintagepointsblog.com/)
12:35:44	45958/45958	---MC-	200	added ('OK')	text/javascript	date:Thu,%2004%20Jun%202020%2023:38:14%20GMT	http://www.google-analytics.com/analytics.js	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/www.google-analytics.com/analytics.js	(from http://www.vintagepointsblog.com/)
12:35:45	872/872	---MCZ	200	added ('OK')	text/xml	date:Sat,%2029%20Aug%202020%2019:35:49%20GMT	http://www.vintagepointsblog.com/xmlrpc.php?rsd	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/www.vintagepointsblog.com/xmlrpc0db0.php	(from http://www.vintagepointsblog.com/)
12:35:45	1045/1045	---MCZ	200	added ('OK')	text/xml	etag:W/%2252a8c1b7-415%22	http://www.vintagepointsblog.com/wp-includes/wlwmanifest.xml	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/www.vintagepointsblog.com/wp-includes/wlwmanifest.xml	(from http://www.vintagepointsblog.com/)
12:35:47	1/1	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2029%20Aug%202020%2019:35:51%20GMT	http://www.vintagepointsblog.com/wp-admin/admin-ajax.php	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/www.vintagepointsblog.com/wp-admin/admin-ajax.php	(from http://www.vintagepointsblog.com/)
12:35:52	181473/181473	---M--	200	added ('OK')	image/jpeg	etag:%225b025468-2c4e1%22	http://www.vintagepointsblog.com/wp-content/uploads/2018/05/d8d8a5c5c8653dc3805ae7945f0fc7fe.jpg	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/www.vintagepointsblog.com/wp-content/uploads/2018/05/d8d8a5c5c8653dc3805ae7945f0fc7fe.jpg	(from http://www.vintagepointsblog.com/)
12:35:53	1839/1839	---M--	200	added ('OK')	image/png	etag:%22726826de5caa7622%22	https://i0.wp.com/www.vintagepointsblog.com/wp-content/uploads/2018/05/cropped-cotton_candy_clouds__by_s_is_for_sexxii-d42rnp1.png?fit=32%2C32	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/i0.wp.com/www.vintagepointsblog.com/wp-content/uploads/2018/05/cropped-cotton_candy_clouds__by_s_is_for_sexxii-d42rnp17398.png	(from http://www.vintagepointsblog.com/)
12:35:53	17567/17567	---M--	200	added ('OK')	image/png	etag:%2268e7fde25aaaf11a%22	https://i0.wp.com/www.vintagepointsblog.com/wp-content/uploads/2018/05/cropped-cotton_candy_clouds__by_s_is_for_sexxii-d42rnp1.png?fit=192%2C192	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/i0.wp.com/www.vintagepointsblog.com/wp-content/uploads/2018/05/cropped-cotton_candy_clouds__by_s_is_for_sexxii-d42rnp1ff94.png	(from http://www.vintagepointsblog.com/)
12:35:53	15722/15722	---M--	200	added ('OK')	image/png	etag:%22ee7f3d433f529967%22	https://i0.wp.com/www.vintagepointsblog.com/wp-content/uploads/2018/05/cropped-cotton_candy_clouds__by_s_is_for_sexxii-d42rnp1.png?fit=180%2C180	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/i0.wp.com/www.vintagepointsblog.com/wp-content/uploads/2018/05/cropped-cotton_candy_clouds__by_s_is_for_sexxii-d42rnp1fd20.png	(from http://www.vintagepointsblog.com/)
